Barcode,UMAP-1,UMAP-2
aagnpdfc-1,2.4593517694724865,-5.526279275918283
aagobkci-1,1.505723753479166,-3.215925079327965
aagofjce-1,-0.9670958515356338,-7.874290654744878
aagohkdl-1,5.079961234039372,-6.374788715814587
aagomldb-1,2.2939235718711837,0.3489920544033684
aagpanne-1,0.3115303295453798,-2.9575586874544655
aagpljgf-1,-1.4077017314837268,1.6742494162284007
aagpphog-1,2.0161471684511785,-5.597938946112068
aahaejhi-1,-6.16825497758438,3.963913680343097
aahahhhe-1,6.0968645976931235,-3.611751354359605
aahanpib-1,0.501475745552925,-9.060046936044078
aahbahdn-1,0.4310093201946526,-6.707201787036876
aahbdbhi-1,0.48883343641480115,-5.341331289072339
aahbdhjl-1,5.238291531824516,-0.3457138723354514
aahbfojd-1,4.691734260465755,-1.4946401579371962
aahbhljk-1,6.814702000641217,-2.4512991037697076
aahbngde-1,-1.6833824758994345,-8.284444523900795
aahcgcbb-1,-2.0289755803027556,-7.393322853283373
aahcigoi-1,-0.7105660976275558,-8.388898536638317
aahdabhc-1,0.7302326728181882,-7.7265065384218605
aahdekdm-1,0.4767854799631407,-8.646980668333883
aahdgjif-1,-0.2825403832170421,-7.007330457343448
aahdoied-1,2.7351347661557917,-5.927831039955377
aaheegnj-1,-1.7246327318296235,-7.391330202674957
aaheionf-1,-0.38135120562436703,-7.88822532201681
aaheipap-1,9.63069341007314,-2.847222623632512
aahfpidp-1,2.0620951538479098,-3.9298598070443087
aahgafbj-1,4.76007955083943,-7.375674423435861
aahgighc-1,2.38636144982844,-6.0744612220709
aahgimeb-1,1.2270049075005132,-5.754502771387764
aahhdnoa-1,2.814599232914446,-5.214534999691
aahhenoe-1,0.2728041115536144,-7.4158852437385026
aahihceo-1,-1.288780622496048,-8.286393175270693
aahiolcb-1,1.7798254362478818,-7.08762179682589
aahjbmlg-1,1.5855215531549405,-6.3723433415279205
aahjohmh-1,0.8284656728492839,-8.36390415657517
aahjplkn-1,-1.1047240306615105,-7.191451225604952
aahlanlh-1,1.0725032322561698,-7.535760083600245
aahldoed-1,0.779133478615428,-5.561931740615689
aahlhbjp-1,2.573521289365086,-6.6576255162551
aahlmebj-1,-1.5492270356622602,-6.732267797412037
aahmbalf-1,1.7037175100219666,1.3606255918296417
aahmeemj-1,1.2659837632497766,2.8212688022380217
aahmnggd-1,1.5406753770420412,2.6219309439510785
aahndfgp-1,1.809486989211674,2.3055340870253525
aahnfjga-1,2.963217852289959,-4.241736650900751
aahnooln-1,-1.0184586415148633,-5.510880718103251
aahoando-1,1.595470723399468,-6.401160903429571
aahobehi-1,4.745513349662046,-6.128611615180933
aahodhli-1,2.5316854972101104,-4.449956487895351
aahojecf-1,-0.042445810969614736,-6.135342691894847
aahonjdk-1,0.631924409369722,2.888866958088562
aahpaopc-1,4.177823821894979,-7.010706525191004
aahpjnnb-1,3.284750950660086,-7.788185799682638
aahpljol-1,4.961131266538885,-4.777792103127388
aahppakg-1,1.1944771147411823,-2.1639360197632325
aaiadpnp-1,1.8281584976748864,-1.0439410807205043
aaiaijip-1,0.12030134237758482,1.5136105775919544
aaiaopnh-1,0.9728094771465536,3.1372666224014965
aaibbggl-1,0.863674390211459,3.0248757035251446
aaibeelo-1,1.6808132876398916,-2.2339130000473086
aaibfkdf-1,6.434074889108041,-6.156166576326809
aaibjfih-1,0.2984000449890992,-7.6111321407567045
aaibjinh-1,2.246382503589366,-4.103779781680671
aaicnlop-1,0.7091355456069037,-7.415184449012049
aaidcecf-1,-2.1021746220308573,-6.709215777923117
aaieekdb-1,2.3965838197856595,-6.535555917849039
aaiefemh-1,1.511934405774114,-7.719477610832038
aaiepkaj-1,3.4020286426698516,-6.81961896432696
aaifgpcb-1,6.25479358864745,-5.81967981676728
aaihkeol-1,0.7901030604578708,-7.389137450297472
aaihklfm-1,0.8040918576477591,-5.880327870290826
aaihnibg-1,2.285432359892764,-7.077297559492358
aaihogei-1,6.584513213947768,-1.1228236618462741
aaiifjjf-1,4.147789035231463,-8.195252455760517
aaiikaee-1,-0.861815500106953,-7.894245946160658
aaiiopgb-1,3.5694786897356554,-5.416512036327394
aaikhbma-1,6.5032879687679745,-1.9495416463165185
aaikogjf-1,7.633370374027114,-3.67855049494941
aailndja-1,4.5617932319980365,-7.6937514764037305
aaimhjhi-1,1.9150855469728325,-5.3981866099375475
aaimiphh-1,-1.3314821279755433,1.683078797635547
aaimkmoi-1,0.4295139183877003,-2.717199676575196
aaimodie-1,5.7463020717004225,-5.877613214984019
aaimpgoa-1,1.7096919384615326,-6.3604023171534365
aainadoj-1,0.3195230686342045,-7.219244552624686
aaiodpne-1,0.7453389597796589,-5.747270859205233
aaiopmpa-1,1.3494564477421798,-6.230442583010609
aaipbbpi-1,-1.7212490470606454,3.0146524114098363
aaipbdfc-1,8.50640745383758,-2.1190828461477826
aaipdmap-1,-10.11184888695756,3.8890864354727097
aaiphphe-1,-0.20335278416835598,-5.2679329350106405
aaippkaa-1,3.106290170079343,-7.2026781338601085
aajaebpd-1,3.610628443646378,-4.30719874835388
aajbcmgo-1,-0.4032616638422188,-8.219382341261516
aajbeagj-1,-0.229967627603178,-5.466308749784411
aajbfdbe-1,0.5971402272466966,-4.564482895028633
aajbfjif-1,3.0223354702786343,-7.574794840977124
aajbgfij-1,0.5727985178893291,-6.9062752161206795
aajckbbb-1,1.938274779145608,-7.909280477764785
aajdakgm-1,4.468420956154233,-4.337246685163734
aajdbdcl-1,2.056203577376024,-7.352163973630922
aajdcpno-1,-1.151893147613535,-6.511307530877067
aajdhbln-1,-0.06045288271895749,-8.834724762055043
aajdjgbi-1,2.1389071654612217,-5.4442415564203674
aajdjnka-1,2.9928192687251465,-6.980648928485129
aajdkipl-1,1.1159584932960864,-6.653601475704636
aajdlild-1,5.25047870014865,-7.451799214285927
aajefjin-1,2.0460742783770893,-7.150501968459742
aajembeb-1,4.862806584876323,-4.729135067585953
aajencph-1,-0.5759335811497399,-8.333459215921083
aajfgpbl-1,0.2348274497318567,-8.334988975601597
aajfhggc-1,0.8990367355877013,-7.004028992789289
aajfijig-1,-0.923472647323014,0.43752526808237524
aajgankc-1,3.405761381335908,-5.428639653274572
aajghphm-1,0.3883240098727384,-7.172165533598564
aajgphbh-1,0.9498405749666545,-7.718646194446407
aajhekka-1,0.30095756652113004,-6.90538507082852
aajheope-1,-2.0943152542466614,-5.964484699636192
aajhjgdm-1,-0.45933862881428134,-7.338329113606205
aajhkpah-1,0.4095545454786446,-7.258513673934915
aajhlbdc-1,0.5778082943026485,-7.186877558999703
aajiggda-1,-0.6518678013243893,-7.993596453384174
aajiiohc-1,-1.54296132971175,-8.438577130305902
aajiliom-1,0.012861647672422268,-5.381587994958285
aajipljo-1,-0.004186813244819884,-5.983803541325266
